2 And,,,217782,113788,23h 02m 36.34s,+42° 45′ 28.1″,5.09,-0.06,349,A3Vn,multiple star,andromeda
V428 And,,V428,3346,2900,00h 36m 46.47s,+44° 29′ 18.6″,5.14,-1.38,656,K5III,"semiregular variable, ΔV = 0.06m, P = 11.5 d; has a possible planetary system",andromeda
ρ And,ρ,,1671,1686,00h 21m 07.23s,+37° 58′ 07.3″,5.16,1.71,160,F5III,,andromeda
HD 2421,,,2421,2225,00h 28m 13.59s,+44° 23′ 40.2″,5.18,0.63,265,A2Vs,spectroscopic binary,andromeda
64 And,,,14770,11220,02h 24m 24.89s,+50° 00′ 23.9″,5.19,-0.11,375,G8III,,andromeda
GN And,,GN,2628,2355,00h 30m 07.34s,+29° 45′ 06.1″,5.2,1.43,185,A7III,"low-amplitude δ Sct variable, ΔV = 0.05m, P = 0.0693041 d",andromeda
14 And,,,221345,116076,23h 31m 17.20s,+39° 14′ 11.0″,5.22,0.8,249,K0III,"Veritate,[8] suspected variable; has a planet (b)",andromeda
49 And,A[14],,9057,6999,01h 30m 06.10s,+47° 00′ 26.6″,5.27,0.53,290,K0III,,andromeda
32 And,,,3817,3231,00h 41m 07.20s,+39° 27′ 31.2″,5.3,0.18,344,G8III,,andromeda
4 And,,,218452,114200,23h 07m 39.28s,+46° 23′ 14.3″,5.3,0.2,342,K5III,double star,andromeda
6 Per,[15],,13530,10366,02h 13m 36.02s,+51° 03′ 58.4″,5.31,1.38,199,G8III:var,spectroscopic binary; suspected variable,andromeda
62 And,c,,14212,10819,02h 19m 16.85s,+47° 22′ 48.0″,5.31,0.84,255,A1V,,andromeda
18 And,,,222304,116709,23h 39m 08.35s,+50° 28′ 18.3″,5.35,-0.04,390,B9V,,andromeda
55 And,,,11428,8814,01h 53m 17.35s,+40° 43′ 47.3″,5.42,-0.67,540,K1III,double star,andromeda
11 And,,,219945,115152,23h 19m 29.79s,+48° 37′ 30.7″,5.44,0.43,328,K0III,,andromeda
36 And,,,5286,4288,00h 54m 58.02s,+23° 37′ 42.4″,5.46,2.51,127,K1IV,suspected variable,andromeda
V340 And,,V340,221756,116354,23h 34m 37.55s,+40° 14′ 11.6″,5.55,1.28,233,A1III,"low-amplitude δ Sct variable, ΔV = 0.007m",andromeda
PZ And,,PZ,14392,10944,02h 20m 58.17s,+50° 09′ 05.5″,5.57,0.38,356,B9p Si,"α2 CVn variable, ΔV = 0.05m, P = 4.189 d",andromeda
47 And,,,8374,6514,01h 23m 40.56s,+37° 42′ 54.0″,5.6,1.54,211,A1m,,andromeda
44 And,,,6920,5493,01h 10m 18.85s,+42° 04′ 53.7″,5.67,2.06,172,F8V,,andromeda
5 And,,,218470,114210,23h 07m 45.25s,+49° 17′ 43.6″,5.68,3.02,111,F5V,,andromeda
HD 5788,,,5788,4675,01h 00m 03.55s,+44° 42′ 47.9″,5.69,0.14,420,A2Vn,binary star with HD 5789,andromeda
56 And,,,11749,9021,01h 56m 09.23s,+37° 15′ 06.5″,5.69,0.73,320,G8III...,multiple star,andromeda
23 And,,,905,1086,00h 13m 30.94s,+41° 02′ 08.6″,5.71,2.99,114,F0IV,,andromeda
HD 16028,,,16028,12072,02h 35m 38.74s,+37° 18′ 44.2″,5.72,-0.86,676,K4III,triple star,andromeda
V388 And,,V388,220885,115755,23h 27m 07.33s,+42° 54′ 43.1″,5.75,0.97,294,B9III,"α2 CVn variable, Vmax = 5.73m, Vmin = 5.77m, P = 1.47931 d",andromeda
12 And,,,220117,115280,23h 20m 53.17s,+38° 10′ 56.9″,5.77,2.63,138,F5V,triple star,andromeda
45 And,,,7019,5550,01h 11m 10.29s,+37° 43′ 26.9″,5.8,-1.44,916,B7III-IV,double star,andromeda
HD 14622,,,14622,11090,02h 22m 50.36s,+41° 23′ 47.5″,5.81,2.44,154,F0III-IV,has two optical companions,andromeda
10 And,,,219981,115191,23h 19m 52.38s,+42° 04′ 40.9″,5.81,-0.3,542,M0III,,andromeda
HD 222109,,,222109,116582,23h 37m 32.03s,+44° 25′ 44.5″,5.81,-1.2,823,B8V,double star,andromeda
HD 224635,,,224635,118281,23h 59m 29.33s,+33° 43′ 26.9″,5.81,3.5,95,F8,multiple star,andromeda
OU And,,OU,223460,117503,23h 49m 40.96s,+36° 25′ 31.4″,5.86,0.21,440,G1IIIe,"FK Com variable, ΔV = 0.07m, P = 24.2 d",andromeda
HD 2767,,,2767,2475,00h 31m 25.61s,+33° 34′ 54.1″,5.88,0.1,467,K1III...,binary star,andromeda
HD 1606,,,1606,1630,00h 20m 24.39s,+30° 56′ 08.2″,5.89,-0.37,582,B7V,suspected variable,andromeda
KK And,,KK,9531,7321,01h 34m 16.60s,+37° 14′ 13.9″,5.9,0.5,392,B8Vp(Si),"α2 CVn variable, ΔV = 0.012m, P = 0.6684 d",andromeda
6 And,,,218804,114430,23h 10m 27.36s,+43° 32′ 41.1″,5.91,3.65,112,F5V,Astrometric binary,andromeda
39 And,,,6116,4903,01h 02m 54.28s,+41° 20′ 42.7″,5.95,0.84,344,A5m,double star,andromeda
AN And,,AN,219815,115065,23h 18m 23.33s,+41° 46′ 25.3″,5.98,0.17,472,A7m,"β Lyr variable, Vmax = 5.96m, Vmin = 6.11m, P = 3.21952 d",andromeda
HD 5608,,,5608,4552,00h 58m 14.19s,+33° 57′ 03.8″,5.99,2.17,190,K0,has a transiting planet (b),andromeda
HD 3883,,,3883,3269,00h 41m 35.98s,+24° 37′ 44.6″,6.06,0.3,462,A7m,suspected variable,andromeda
V439 And,,V439,166,544,00h 06m 36.53s,+29° 01′ 19.0″,6.07,5.39,45,K0V,"BY Draconis variable, ΔV = 0.04m, P = 6.23 d",andromeda
HD 223229,,,223229,117340,23h 47m 33.05s,+46° 49′ 57.3″,6.08,-1.96,1320,B3IV,suspected variable,andromeda
59 And A,,,13294,10176,02h 10m 52.83s,+39° 02′ 22.5″,6.09,1.56,263,B9V,binary star,andromeda
26 And,,,1438,1501,00h 18m 42.15s,+43° 47′ 28.1″,6.1,-0.53,692,B8V,double star,andromeda
HD 225218,,,225218,365,00h 04m 36.60s,+42° 05′ 33.2″,6.11,-2.45,1680,B9III,double star,andromeda
HD 1185,,,1185,1302,00h 16m 21.50s,+43° 35′ 42.4″,6.12,1.28,303,A2V,double star,andromeda
GO And,,GO,4778,3919,00h 50m 18.21s,+45° 00′ 08.1″,6.13,1.34,296,A0p...,"α2 CVn variable, ΔV = 0.04m, P = 2.5481 d",andromeda
66 And,,,15138,11465,02h 27m 51.75s,+50° 34′ 12.7″,6.16,2.54,173,F4V,spectroscopic binary,andromeda
HD 221776,,,221776,116365,23h 34m 46.73s,+38° 01′ 26.3″,6.18,-0.41,678,K5,double star,andromeda
HD 221246,,,221246,115996,23h 30m 07.39s,+49° 07′ 59.3″,6.19,-0.91,856,K5III,member of the NGC 7686 star cluster,andromeda
OP And,,OP,9746,7493,01h 36m 27.21s,+48° 43′ 22.2″,6.2,0.65,420,K1III:,"BY Dra variable, ΔV = 0.09m",andromeda
HD 895,,,895,1076,00h 13m 23.93s,+26° 59′ 15.4″,6.24,0.78,403,G0III,triple star,andromeda
HD 220105,,,220105,115261,23h 20m 44.11s,+44° 06′ 58.5″,6.25,1.73,261,A5Vn,double star,andromeda
HD 2942,,,2942,2583,00h 32m 49.09s,+28° 16′ 48.8″,6.26,0.47,469,G8II,triple star,andromeda
HD 8673,,,8673,6702,01h 26m 08.62s,+34° 34′ 47.7″,6.34,3.43,125,F7V,has a planet (b),andromeda
CG And,,CG,224801,63,00h 00m 43.62s,+45° 15′ 12.0″,6.36,-0.23,678,B9p SiEu,"α2 CVn variable, Vmax = 6.32m, Vmin = 6.42m, P = 3.73975 d",andromeda
HD 16004,,,16004,12057,02h 35m 27.89s,+39° 39′ 52.1″,6.36,0.11,580,B9MNp...,triple star,andromeda
LN And,,LN,217811,113802,23h 02m 45.15s,+44° 03′ 31.6″,6.37,-1.42,1177,B2V,double star; not variable despite designation,andromeda
V385 And,,V385,220524,115530,23h 24m 08.88s,+41° 36′ 46.3″,6.37,-1.55,1249,M0,"irregular variable, Vmax = 6.36m, Vmin = 6.47m",andromeda
GY And,,GY,9996,7651,01h 38m 31.84s,+45° 23′ 58.9″,6.38,0.66,455,B9Vp (Cr-Eu),"Promethium lines; α2 CVn variable, Vmax = 6.27m, Vmin = 6.44m, P = 8000 d",andromeda
V529 And,,V529,8801,6794,01h 27m 26.67s,+41° 06′ 04.0″,6.42,2.69,182,Am...,"δ Scuti variable, ΔV = 0.03m, P = 0.40331 d",andromeda
HD 222641,,,222641,116941,23h 42m 14.68s,+44° 59′ 30.3″,6.43,-0.48,786,K5III,suspected variable,andromeda
HD 7853,,,7853,6140,01h 18m 47.02s,+37° 23′ 10.7″,6.44,0.71,456,A5m,double star,andromeda
HD 6114,,,6114,4911,01h 03m 01.47s,+47° 22′ 34.3″,6.46,1.39,337,A9V,double star,andromeda
ET And,,ET,219749,115036,23h 17m 55.99s,+45° 29′ 20.2″,6.48,0.36,545,B9Vp(Si),"α2 CVn variable, ΔV = 0.03m, P = 1.61888 d",andromeda
HD 222399,,,222399,116781,23h 40m 02.82s,+37° 39′ 10.2″,6.49,1.74,291,F2IV,double star,andromeda
PY And,,PY,3322,2865,00h 36m 20.00s,+27° 15′ 17″,6.5,-0.16,701,B8IIImnp...,"α2 CVn variable, ΔV = ~0.03m",andromeda
59 And B,,,13295,10180,02h 10m 53.67s,+39° 02′ 36.0″,6.82,-1.76,1698,A1Vn,component of the 59 And system,andromeda
HD 222155,,,222155,116616,23h 38m 00s,+48° 59′ 47″,7.1,3.65,160,G2V,has a planet (b),andromeda
HD 16175,,,16175,12191,02h 37m 01.91s,+42° 03′ 45.5″,7.28,3.4,195,G0,has a planet (b),andromeda
R And,,R,1967,1901,00h 24m 01.95s,+38° 34′ 37.3″,7.39,0,0,S6.5IIIeZr6Ti2,"Mira variable, Vmax = 5.8m, Vmin = 15.2m, P = 409.2 d",andromeda
HD 1605,,,1605,1640,00h 20m 32.0s,+30° 58′ 29″,7.52,2.88,276,K1IV,has two planets (b & c),andromeda
HD 13931,,,13931,10626,02h 16m 47.38s,+43° 46′ 22.8″,7.52,4.3,144,G0,has a planet (b),andromeda
HD 5583,,,5583,0,00h 57m 57.0s,+34° 59′ 08″,7.6,0.88,721,K0,has a planet (b),andromeda
RW And,,RW,4489,0,00h 47m 18.92s,+32° 41′ 08.6″,7.9,0,0,"M5e-M10e(S6,2e)","Mira variable, Vmax = 7.9m, Vmin = 15.7m, P = 430 d",andromeda
GRB 34,,,1326,1475,00h 18m 22.9s,+44° 01′ 22″,8.01,10.25,11.62,M6Ve + M1Ve,"16th closest star system, binary; both components GQ and GX And flare stars",andromeda
HD 15082,,,15082,11397,02h 26m 51.06s,+37° 33′ 01.7″,8.3,3,377,A5,has a transiting planet WASP-33b,andromeda
Z And,,Z,221650,116287,23h 33m 39.95s,+48° 49′ 05.9″,10.53,2.38,1393,M2III + B1eq,"prototype of Z And variables, Vmax = 7.7m, Vmin = 11.3m",andromeda
HAT-P-6,,,0,0,23h 39m 05.81s,+42° 27′ 57.5″,10.54,4.03,650,F,has a transiting planet (b),andromeda
HAT-P-16,,,0,0,00h 38m 17.56s,+42° 27′ 47.2″,10.8,3.9,766,F8,has a transiting planet (b),andromeda
HAT-P-32,,,0,0,02h 01m 10s,+46° 41′ 16″,11.29,3.76,1044,F/G,has a transiting planet (b),andromeda
WASP-1,,,0,0,00h 20m 40.08s,+31° 59′ 23.8″,11.79,3.89,1239,F7V,has a transiting planet (b),andromeda
Kepler-63,,,0,0,01h 17m 07.6s,+49° 32′ 54″,12.02,5.52,652,,has a transiting planet (b),andromeda
Ross 248,,,0,0,23h 41m 54.99s,+44° 10′ 40.8″,12.29,14.79,10.32,M6e,"HH And; 8th closest star system, flare star",andromeda
HAT-P-19,,,0,0,00h 38m 04s,+34° 42′ 42″,12.9,6.24,701,K,has a transiting planet (b),andromeda
HAT-P-28,,,0,0,00h 52m 00s,+34° 43′ 42″,13.03,5.05,1288,G3,has a transiting planet (b),andromeda
HAT-P-53,,,0,0,01h 27m 29.0s,+38° 58′ 05″,13.73,4.45,2345,,has a transiting planet (b),andromeda
S And,,S,0,0,00h 42m 43.11s,+41° 16′ 04.2″,0,0,2600000,Ia,"SN 1885A; BD+40°147a; type Ia supernova in the Andromeda Galaxy, Vmax = 5.8m, Vmin = < 16m",andromeda
α Ant,α,,90610,51172,10h 27m 09.16s,-31° 04′ 04.1″,4.28,-0.97,366,K4III,"suspected variable, Vmax = 4.22m, Vmin = 4.29m",antlia
ε Ant,ε,,82150,46515,09h 29m 14.74s,-35° 57′ 04.9″,4.51,-2.15,700,K3III,"variable star, ΔV = 0.003m, P = 0.09026 d",antlia
ι Ant,ι,,94890,53502,10h 56m 43.00s,-37° 08′ 14.9″,4.6,0.67,199,K0III,,antlia
θ Ant,θ,,84367,47758,09h 44m 12.13s,-27° 46′ 10.4″,4.78,-0.58,384,A7V+...,binary star,antlia
η Ant,η,,86629,48926,09h 58m 52.34s,-35° 53′ 27.4″,5.23,2.66,106,A8IV,double star,antlia
HD 90132,,,90132,50888,10h 23m 29.41s,-38° 00′ 35.0″,5.34,2.3,132,A8V,suspected variable,antlia
HD 96146,,,96146,54173,11h 04m 54.21s,-35° 48′ 16.9″,5.43,-0.63,530,A0V,,antlia
HD 82205,,,82205,46578,09h 29m 54.52s,-26° 35′ 22.6″,5.49,-1.36,763,K2IIICNII,double star,antlia
U Ant,,U,91793,51821,10h 35m 12.88s,-39° 33′ 45.3″,5.5,-1.54,836,"C6,3(N0)","slow irregular variable, Vmax = 5.27m, Vmin = 6.04m",antlia
HR 4049,,AG,89353,50456,10h 18m 07.60s,-28° 59′ 31.3″,5.52,-3.6,2173,B9.5Ib/II,"protoplanetary nebula, Vmax = 5.29m, Vmin = 5.83m, P = 429 d",antlia
δ Ant A,δ,,90972,51376,10h 29m 35.40s,-30° 36′ 25.5″,5.56,-0.27,481,B9/B9.5V,"component of the δ Ant system; suspected variable, Vmax = 5.55m, Vmin = 5.60m",antlia
HD 93905,,,93905,52965,10h 49m 57.05s,-34° 03′ 29.5″,5.61,0.48,346,A1V,,antlia
HD 83380,,,83380,47199,09h 37m 09.87s,-32° 10′ 43.0″,5.62,1.05,267,K1III,,antlia
HD 92845,,,92845,52407,10h 42m 43.21s,-32° 42′ 56.4″,5.63,-0.71,605,A0V,double star,antlia
HD 83332,,,83332,47187,09h 37m 00.25s,-25° 17′ 48.7″,5.68,0.91,293,K0III,,antlia
ζ1 Ant B,ζ1,,82383,46657,09h 30m 46.08s,-31° 53′ 21.0″,5.75,0.46,372,A0,binary star,antlia
HD 86267,,,86267,48748,09h 56m 35.47s,-33° 25′ 06.8″,5.83,-0.01,479,K1III,,antlia
HD 82514,,,82514,46736,09h 31m 32.93s,-35° 42′ 51.6″,5.86,1.15,285,K3III,triple star,antlia
ζ2 Ant,ζ2,,82513,46734,09h 31m 32.19s,-31° 52′ 18.6″,5.91,0.61,374,A9IV,,antlia
HD 88809,,,88809,50103,10h 13m 45.98s,-40° 20′ 45.9″,5.91,0.21,450,K1III,double star,antlia
HD 85206,,,85206,48191,09h 49m 28.15s,-37° 11′ 12.4″,5.95,0.47,407,K2III,,antlia
HD 83441,,,83441,47224,09h 37m 28.42s,-36° 05′ 45.6″,5.96,0.89,337,K2III,,antlia
HD 88218,,,88218,49769,10h 09m 32.09s,-35° 51′ 24.5″,6.14,3.7,100,G1V,binary star,antlia
HD 82165,,,82165,46517,09h 29m 16.25s,-38° 24′ 12.8″,6.15,2.18,203,A6V,,antlia
HD 89015,,,89015,50234,10h 15m 20.89s,-36° 31′ 03.8″,6.17,0.91,367,K0III,,antlia
ζ1 Ant A,ζ1,,82384,0,09h 30m 46.10s,-31° 53′ 22.0″,6.18,0,0,,component of the ζ1 Ant system,antlia
HD 90071,,,90071,50868,10h 23m 13.14s,-30° 09′ 44.0″,6.25,2.6,175,A9IV,,antlia
HD 87606,,,87606,49418,10h 05m 15.28s,-36° 23′ 03.7″,6.27,0.71,422,K1III,,antlia
HD 85725,,,85725,48468,09h 52m 58.21s,-27° 19′ 56.7″,6.28,2.5,186,G1V,double star,antlia
HD 88522,,,88522,49967,10h 12m 02.88s,-28° 36′ 21.4″,6.28,0.31,509,A0V,double star,antlia
HD 89442,,,89442,50492,10h 18m 37.88s,-36° 48′ 16.5″,6.31,-0.04,608,K2/K3III,,antlia
BF Ant,,BF,86301,48776,09h 56m 54.14s,-27° 28′ 30.8″,6.32,0.38,502,A4V,"δ Scuti variable, ΔV = 0.01m",antlia
HD 88836,,,88836,50122,10h 13m 56.58s,-40° 18′ 38.7″,6.33,0.64,448,G8III,double star,antlia
HD 88013,,,88013,49645,10h 08m 01.67s,-37° 20′ 00.5″,6.34,0.05,590,K0III,,antlia
HD 85296,,,85296,48219,09h 49m 51.36s,-36° 16′ 06.5″,6.36,0.2,555,K0III,,antlia
HD 92589,,,92589,52273,10h 40m 51.56s,-35° 44′ 30.2″,6.36,-0.28,695,G8/K0III+..,double star,antlia
HD 88742,,,88742,50075,10h 13m 24.99s,-33° 01′ 54.8″,6.38,4.6,74,G0V,,antlia
HD 84224,,,84224,47627,09h 42m 41.37s,-35° 30′ 06.2″,6.39,-1.8,1417,Asp...,,antlia
HD 87477,,,87477,49343,10h 04m 23.39s,-39° 58′ 33.1″,6.42,-0.03,637,K1III,,antlia
S Ant,,S,82610,46810,09h 32m 18.45s,-28° 37′ 40.4″,6.43,2.05,245,A9V,"W Uma variable, Vmax = 6.27m, Vmin = 6.83m, P = 0.6483489 d",antlia
HD 82785,,,82785,46874,09h 33m 07.71s,-39° 07′ 45.0″,6.43,2.12,237,F2IV/V,binary star,antlia
HD 84567,,,84567,47868,09h 45m 22.01s,-30° 12′ 09.9″,6.45,-3.7,3500,B0.5IIIn,suspected variable,antlia
HD 83108,,,83108,47039,09h 35m 11.88s,-35° 49′ 25.5″,6.48,2.47,207,F5V,,antlia
HD 93083,,,93083,52521,10h 44m 20.91s,-33° 34′ 37.2″,8.33,6.03,94,K2V,has a planet (b),antlia
T Ant,,T,0,46924,09h 33m 50.86s,-36° 36′ 56.7″,9.26,-0.7,3200,G5,"Classical Cepheid, Vmax = 8.88m, Vmin = 9.82m, P = 5.898053 d",antlia
δ Ant B,δ,BZ,90972,0,10h 29m 34.77s,-30° 36′ 33.1″,9.65,3.81,481,F9Ve,"component of the δ Ant system; T Tauri star, ΔV = 0.04m, P = 3.3 d",antlia
TWA 6,,BX,0,0,10h 18m 28.70s,-31° 50′ 02.9″,10.65,0,0,M0Ve,"T Tauri star, ΔV = 0.149m, P = 0.5409 d",antlia
WASP-66,,,0,0,10h 32m 54.0s,-34° 59′ 23″,11.6,3.7,1239,F4,has a transiting planet (b),antlia
TWA 7,,CE,0,0,10h 42m 30.06s,-33° 40′ 16.6″,11.73,0,0,M2Ve,"T Tauri star, ΔV = 0.11m, P = 5.00 d",antlia
UX Ant,,UX,0,0,10h 57m 09.0s,-37° 23′ 56″,12.37,0,0,,"R CrB variable, Vmax = 11.5m, Vmin = <18.0m",antlia
DEN 1048-3956,,,0,0,10h 48m 15s,-39° 56′ 06″,17.53,4.52,13.051,M9V,brown dwarf,antlia
XTE J0929-314,,BW,0,0,09h 29m 20.19s,-31° 29′ 03.2″,18.63,0,0,,"X-ray pulsar, Vmax = 18.63m, Vmin = 22.89m, P = 0.030263 d",antlia
2MASS 0939-2448,,,0,0,09h 39m 39.49s,-24° 48′ 27.9″,0,0,17,T8,binary brown dwarf,antlia
α Aps,α,,129078,72370,14h 47m 51.73s,-79° 02′ 41.0″,3.83,-1.67,411,K5III,,apus
γ Aps,γ,,147675,81065,16h 33m 27.46s,-78° 53′ 49.1″,3.86,0.41,159,K0IV SB,,apus
β Aps,β,,149324,81852,16h 43m 05.42s,-77° 30′ 59.7″,4.23,0.81,158,K0III,double star,apus
δ1 Aps,δ1,,145366,80047,16h 20m 20.84s,-78° 41′ 44.4″,4.68,-2.17,765,M4-M5III,"visual double star with δ2 Aps; semiregular variable, Vmax = 4.66m, Vmin = 4.87m",apus
ζ Aps,ζ,,156277,84969,17h 21m 59.53s,-67° 46′ 14.3″,4.76,-0.14,312,K1III,,apus
η Aps,η,,123998,69896,14h 18m 13.97s,-81° 00′ 27.4″,4.89,1.73,140,A2m...,,apus
ε Aps,ε,,124771,70248,14h 22m 23.20s,-80° 06′ 32.1″,5.06,-1.08,551,B4V,γ Cas variable,apus
δ2 Aps,δ2,,145388,80057,16h 20m 26.86s,-78° 40′ 02.7″,5.27,-1.27,663,K3III,visual double star with δ1 Aps,apus
R Aps,,R,131109,73223,14h 57m 53.16s,-76° 39′ 45.4″,5.37,-0.22,428,K4III,not variable despite designation,apus
ι Aps,ι,,156190,84979,17h 22m 05.88s,-70° 07′ 23.4″,5.39,-2.34,1144,B8/B9Vn...,binary star,apus
κ1 Aps,κ1,,137387,76013,15h 31m 30.82s,-73° 23′ 22.4″,5.52,-2.31,1200,B1npe,"double star; γ Cas variable, Vmax = 5.43m, Vmin = 5.61m",apus
HR 6135,,,148488,81141,16h 34m 19.37s,-70° 59′ 17.0″,5.5,-1.8,942,K1IIICN...,,apus
HD 130458,,,130458,72833,14h 53m 13.54s,-73° 11′ 24.6″,5.59,0.63,320,G5III,double star,apus
κ2 Aps,κ2,,138800,76750,15h 40m 21.36s,-73° 26′ 47.9″,5.64,-1.12,734,B8IVe,triple star,apus
θ Aps,θ,,122250,68815,14h 05m 20.10s,-76° 47′ 48.0″,5.69,0.67,328,M6.5III,"semiregular variable, Vmax = 4.65m, Vmin = 6.20m, P = 111.0 d",apus
HR 5955,,,143346,78868,16h 05m 55.88s,-72° 24′ 03.9″,5.7,0.97,288,K1IIICNII,,apus
NO Aps,,NO,156513,85760,17h 31m 27.47s,-80° 51′ 32.5″,5.83,-1.15,811,M3III,"semiregular variable, Vmax = 5.71m, Vmin = 5.95m",apus
HD 164712,,,164712,89115,18h 11m 15.76s,-75° 53′ 26.9″,5.86,1.41,253,K3III,double star,apus
HD 165259,,,165259,89234,18h 12m 34.17s,-73° 40′ 18.4″,5.86,2.8,133,F5V,double star,apus
HD 131425,,,131425,73415,15h 00m 11.34s,-77° 09′ 37.9″,5.92,-1.23,876,G8II,,apus
HD 138867,,,138867,76877,15h 41m 54.70s,-76° 04′ 54.7″,5.95,0.64,377,B9V,,apus
HD 122862,,,122862,69090,14h 08m 27.71s,-74° 51′ 02.6″,6.02,3.73,93,G1V,,apus
HD 133981,,,133981,74421,15h 12m 34.01s,-72° 46′ 14.0″,6.02,-1.06,849,B8/B9III,,apus
HD 126209,,,126209,70874,14h 29m 37.07s,-76° 43′ 44.5″,6.06,0.04,522,K0/K1III,,apus
HD 161988,,,161988,87926,17h 57m 41.68s,-76° 10′ 40.6″,6.08,-0.23,595,K2III,double star,apus
